,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
933,Parc de la Promenade-Bellerive,https://montreal.ca/lieux/parc-de-la-promenade-bellerive,"Long d’environ 2,2 km, le parc de la Promenade-Bellerive est le seul accès physique et visuel au fleuve Saint-Laurent dans l’arrondissement de Mercier–Hochelaga–Maisonneuve.Profitez-en pour regarder passer les nombreux navires commerciaux en direction du port ou jetez votre ligne à l’eau depuis la rive couverte de galets. Offrez-vous un autre plaisir de l’été et montez à bord de la navette fluviale vers l’Île Charron pour accéder à un espace paisible et naturel.Empruntez gratuitement des équipements sportifs et de plein air grâce au service de prêt. Quatre bacs à cendre sont disponibles dans ce parc:2 à la zone de pique-nique près du chalet1 à la zone de pique-nique du belvédère de la rue Mousseau1 à la zone de pique-nique de la rue Taillon",2019-10-11,2023-02-09,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,"Photographie,Vélo,Pêche,Observation d'oiseaux","Aire de pique-nique,Fontaine d'eau potable,Piste de course à pied,Stationnement gratuit,Toilettes,Wi-Fi gratuit","Adapté aux poussettes,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de la Promenade-Bellerive,"8300, rue Bellerive",,,Montréal,-73.509374123005,45.595243261161,304068.6,5050593.2
934,Parc des Fondatrices-de-Saint-Léonard,https://montreal.ca/lieux/parc-des-fondatrices-de-saint-leonard,"Ce petit parc est aménagé avec des tables de pique-nique, des bancs et un jardin collectif.",2023-10-12,2024-02-02,Saint-Léonard,Parc et jardins,Parc,,"Aire de pique-nique,Borne de recharge voiture,Fontaine d'eau potable,Support à vélo","Accessible en fauteuil roulant,Adapté aux poussettes",Organisation municipale,Ouvert," Heures d'ouverture [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc des Fondatrices-de-Saint-Léonard,"5725, rue Jarry Est","Sur la rue Jarry, à l'intersection de la rue de Madère",H1P1V5,Montréal,-73.588598,45.587661,297886.8,5049754.4
935,Parc à chiens Frederick-Mackenzie,https://montreal.ca/lieux/parc-chiens-frederick-mackenzie,Le parc à chiens Frederick-Mackenzie est situé à l’angle des rues Lapierre et André-Merlot.,2020-04-27,2023-12-14,LaSalle,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Heures d'ouverture [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,"Respectez les consignes indiquées sur placeDeux chiens maximum autorisés par personneNe jouez pas avec une balle ou tout autre objet lorsqu’un autre chien s’y trouveAutres interdictions : la nourriture, les chiens malades ou en chaleur, et tout animal qui pourrait incommoder les autres chiens",,,,Parc à chiens Frederick-Mackenzie,Angle des rues Lapierre et André-Merlot,,,Montréal,-73.613333702087,45.436778673558,295933.0,5032989.1
936,Parc à chiens Pilote,https://montreal.ca/lieux/parc-chiens-pilote,Le parc à chiens Pilote est situé à l’angle de la rue Duke et de la rue Brennan.,2020-05-14,2021-06-07,Ville-Marie,Parc et jardins,Parc à chiens,,Fontaine d'eau potable,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc à chiens Pilote,Rue Duke,Rue Brennan,H3C 4H5,Montréal,-73.554064859716,45.49544904071,300574.5,5039504.3
937,Parc à chiens des Bruants,https://montreal.ca/lieux/parc-chiens-des-bruants,"Le parc à chiens est situé dans la rue des Bruants, au nord du boulevard Jacques-Bizard, derrière le Complexe sportif Saint-Raphaël.",2020-05-15,2024-01-23,L'Île-Bizard–Sainte-Geneviève,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert, ,,,,,,Parc à chiens des Bruants,Rue des Bruants,,H9C 2Y2,Montréal,-73.876947697544,45.503395228302,275343.2,5040455.1
938,Parc canin d'Outremont (parc Mali),https://montreal.ca/lieux/parc-canin-doutremont-parc-mali,Il est situé à l’angle de l’avenue McEachran et de l’avenue du Manoir.,2020-05-15,2021-08-25,Outremont,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,"À Montréal, les parcs à chiens sont les seuls espaces publics où vous pouvez laisser votre chien courir en liberté. Plus de 50 parcs canins sont à votre disposition toute l’année, dans l’ensemble des arrondissements. Voici tout ce que vous devez savoir.https://montreal.ca/sujets/parcs-chiens",,,,Parc canin d'Outremont (parc Mali),Avenue McEachran,,H2V 3E6,Montréal,-73.620415609247,45.519985532078,295392.8,5042236.7
939,Parc à chiens Lucien-L'Allier,https://montreal.ca/lieux/parc-chiens-lucien-lallier,"Le parc à chiens Lucien-L’Allier est situé rue Lucien-L’Allier, au nord de la rue Saint-Jacques.",2020-05-19,2024-01-23,Ville-Marie,Parc et jardins,Parc à chiens,,Fontaine d'eau potable,"Adapté aux poussettes,Entrée de plain-pied",Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc à chiens Lucien-L'Allier,Rue Lucien-L'Allier,,,Montréal,-73.568107512328,45.493314612985,299476.8,5039268.0
940,Parc à chiens Saint-Patrick,https://montreal.ca/lieux/parc-chiens-saint-patrick,Ce parc à chiens permet de laisser votre chien courir en liberté.,2020-05-20,2022-05-09,Le Sud-Ouest,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc à chiens Saint-Patrick,Rue Saint-Patrick,,,Montréal,-73.591797776966,45.466134543537,297621.7,5036249.3
941,Parc à chiens Wolfred-Nelson,https://montreal.ca/lieux/parc-chiens-wolfred-nelson,Le parc à chiens Wolfred-Nelson est situé à l’angle de la rue Notre-Dame Est et du boulevard Pie-IX.,2020-05-21,2023-02-13,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert, ,,,,,,Parc à chiens Wolfred-Nelson,Rue Notre-Dame Est et boulevard Pie-IX,,,Montréal,-73.532640580428,45.548255151675,302251.3,5045371.8
942,Parc à chiens Gallery,https://montreal.ca/lieux/parc-chiens-gallery,Ce parc à chiens vous permet de laisser votre chien courir en liberté.,2020-07-06,2022-05-06,Le Sud-Ouest,Parc et jardins,Parc à chiens,,Bacs bruns publics,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc à chiens Gallery,Rue Bassin,,,Montréal,-73.559882170265,45.490457159879,300119.4,5038949.9
943,Parc à chiens Crépeau,https://montreal.ca/lieux/parc-chiens-crepeau,Il vous permet de laisser votre chien courir en liberté.,2020-10-05,2021-04-01,Saint-Laurent,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire spécial [Lundi, ouverture:06:00, fermeture:21:00,Mardi, ouverture:06:00, fermeture:21:00,Mercredi, ouverture:06:00, fermeture:21:00,Jeudi, ouverture:06:00, fermeture:21:00,Vendredi, ouverture:06:00, fermeture:21:00,Samedi, ouverture:06:00, fermeture:21:00,Dimanche, ouverture:06:00, fermeture:21:00]",,,,,,Parc à chiens Crépeau,Rue Crépeau,,,Montréal,-73.679556,45.531417,290775.5,5043515.7
944,Parc à chiens Montpellier,https://montreal.ca/lieux/parc-chiens-montpellier,Le parc à chiens du boulevard Montpellier est situé  à proximité de la traverse Montpellier.,2020-10-05,2021-04-07,Saint-Laurent,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire spécial [Lundi, ouverture:06:00, fermeture:21:00,Mardi, ouverture:06:00, fermeture:21:00,Mercredi, ouverture:06:00, fermeture:21:00,Jeudi, ouverture:06:00, fermeture:21:00,Vendredi, ouverture:06:00, fermeture:21:00,Samedi, ouverture:06:00, fermeture:21:00,Dimanche, ouverture:06:00, fermeture:21:00]",,,,,,Parc à chiens Montpellier,Boulevard Montpellier,,,Montréal,-73.669028,45.519861,291595.1,5042229.7
945,Parc à chiens du parc Angrignon,https://montreal.ca/lieux/parc-chiens-du-parc-angrignon,"Le parc à chiens du parc Angrignon est réservé aux résidents de l’arrondissement du Sud-Ouest. Pour y accéder, votre chien doit avoir sa médaille.",2020-10-19,2022-05-09,Le Sud-Ouest,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc à chiens du parc Angrignon,"7503, boulevard De La Vérendrye",,H4E 4J3,Montréal,-73.599394662748,45.445429706033,297024.8,5033949.1
946,Parc à chiens Champion du parc Arthur-Therrien,https://montreal.ca/lieux/parc-chiens-champion-du-parc-arthur-therrien,"Le parc à chien permet aux gardiens de chien de laisser courir leur animal librement, sans nuire aux autres usagers ou activités du parc. Un usager qui utilise le parc à chiens avec son animal doit se conformer aux présentes règles d’utilisation de même qu’au Règlement sur le contrôle des animaux.",2020-10-19,2024-01-23,Verdun,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:21:00,Mardi, ouverture:07:00, fermeture:21:00,Mercredi, ouverture:07:00, fermeture:21:00,Jeudi, ouverture:07:00, fermeture:21:00,Vendredi, ouverture:07:00, fermeture:21:00,Samedi, ouverture:07:00, fermeture:21:00,Dimanche, ouverture:07:00, fermeture:21:00]",,,,,,Parc à chiens Champion du parc Arthur-Therrien,"3750, boulevard Gaétan Laberge",,H4G2A3,Verdun,-73.560914446229,45.46642038093,300036.7,5036278.8
947,Parc à chiens du parc de la Fontaine,https://montreal.ca/lieux/parc-chiens-du-parc-de-la-fontaine,"Le parc à chien permet aux gardiens de chien de laisser courir leur animal librement, sans nuire aux autres usagers ou activités du parc. Un usager qui utilise le parc à chiens avec son animal doit se conformer aux présentes règles d’utilisation de même qu’au Règlement sur le contrôle des animaux.",2020-10-19,2024-01-23,Verdun,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:21:00,Mardi, ouverture:07:00, fermeture:21:00,Mercredi, ouverture:07:00, fermeture:21:00,Jeudi, ouverture:07:00, fermeture:21:00,Vendredi, ouverture:07:00, fermeture:21:00,Samedi, ouverture:07:00, fermeture:21:00,Dimanche, ouverture:07:00, fermeture:21:00]",,,,,,Parc à chiens du parc de la Fontaine,570 Place de la Fontaine,,H3E 1G7,Verdun,-73.543118834496,45.463547004117,301428.1,5035958.5
948,Parc à chiens du parc Beaubien,https://montreal.ca/lieux/parc-chiens-du-parc-beaubien,"Pour profiter de ce parc, votre chien doit porter sa médaille.",2020-10-19,2022-11-03,Rosemont–La Petite-Patrie,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc à chiens du parc Beaubien,"4644, rue Beaubien Est",,H1Y2X7,Montréal,-73.589768562458,45.554202255277,297791.3,5046036.1
949,Parc à chiens du parc de la Louisiane,https://montreal.ca/lieux/parc-chiens-du-parc-de-la-louisiane,"Pour profiter de ce parc, votre chien doit porter sa médaille.",2020-10-19,2022-11-03,Rosemont–La Petite-Patrie,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc à chiens du parc de la Louisiane,"4644, rue Beaubien Est",,H1T1T7,Montréal,-73.57112815298,45.568256051307,299248.0,5047596.5
950,Parc à chiens  du parc Cousineau,https://montreal.ca/lieux/parc-chiens-du-parc-cousineau,"Pour profiter de ce parc, votre chien doit porter sa médaille.",2020-10-19,2021-04-01,Saint-Laurent,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire spécial [Lundi, ouverture:06:00, fermeture:21:00,Mardi, ouverture:06:00, fermeture:21:00,Mercredi, ouverture:06:00, fermeture:21:00,Jeudi, ouverture:06:00, fermeture:21:00,Vendredi, ouverture:06:00, fermeture:21:00,Samedi, ouverture:06:00, fermeture:21:00,Dimanche, ouverture:06:00, fermeture:21:00]",,,,,,Parc à chiens  du parc Cousineau,2920 Avenue O'Brien,,H4L 1K5,Saint-Laurent,-73.691395015836,45.52236744627,289848.4,5042512.2
951,Parc à chiens du parc du Bois-Franc,https://montreal.ca/lieux/parc-chiens-du-parc-du-bois-franc,"Pour profiter de ce parc, votre chien doit porter sa médaille.",2020-10-19,2021-04-07,Saint-Laurent,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire spécial [Lundi, ouverture:06:00, fermeture:21:00,Mardi, ouverture:06:00, fermeture:21:00,Mercredi, ouverture:06:00, fermeture:21:00,Jeudi, ouverture:06:00, fermeture:21:00,Vendredi, ouverture:06:00, fermeture:21:00,Samedi, ouverture:06:00, fermeture:21:00,Dimanche, ouverture:06:00, fermeture:21:00]",,,,,,Parc à chiens du parc du Bois-Franc,2145 Rue du Chinook,,H4R 3L6,Saint-Laurent,-73.712962593606,45.513617980464,288160.9,5041544.1
952,Parc à chiens du parc du Pélican,https://montreal.ca/lieux/parc-chiens-du-parc-du-pelican,"Pour profiter de ce parc, votre chien doit porter sa médaille.",2020-10-19,2022-11-03,Rosemont–La Petite-Patrie,Parc et jardins,Parc à chiens,,,,Animaux et insectes,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc à chiens du parc du Pélican,"2590, rue Masson",,H1Y1V9,Montréal,-73.575871031724,45.54425385835,298875.3,5044929.4
